,id,sentiment
0,32823,happiness
1,16298,worry
2,28505,worry
3,6689,neutral
4,26893,neutral
5,36572,happiness
6,12335,worry
7,29591,happiness
8,18948,worry
9,31067,happiness
10,22241,neutral
11,13787,worry
12,5128,worry
13,9125,neutral
14,35041,neutral
15,3510,worry
16,16441,hate
17,19463,worry
18,26283,neutral
19,36216,happiness
20,17407,worry
21,10919,neutral
22,30866,neutral
23,34436,worry
24,12701,worry
25,35676,neutral
26,34089,worry
27,21261,worry
28,26173,worry
29,28283,worry
30,37266,worry
31,32506,neutral
32,33381,neutral
33,39380,neutral
34,20845,worry
35,252,worry
36,35119,neutral
37,3434,worry
38,1278,worry
39,8285,worry
40,15215,neutral
41,2624,worry
42,3698,worry
43,6039,worry
44,4095,worry
45,39574,neutral
46,14775,worry
47,39974,love
48,14518,neutral
49,314,hate
50,5787,sadness
51,10859,hate
52,20809,neutral
53,22987,neutral
54,27031,happiness
55,14998,worry
56,38588,love
57,33052,sadness
58,27996,neutral
59,28904,worry
60,28177,happiness
61,32862,neutral
62,35302,neutral
63,31370,love
64,22667,neutral
65,24533,happiness
66,1566,worry
67,12296,worry
68,34134,worry
69,16810,worry
70,14470,neutral
71,27084,worry
72,21047,sadness
73,36979,love
74,32734,love
75,32798,neutral
76,22898,worry
77,4859,fun
78,8648,worry
79,38406,worry
80,38975,worry
81,3719,worry
82,15280,worry
83,13125,worry
84,24168,neutral
85,31578,sadness
86,15146,worry
87,31543,neutral
88,25649,happiness
89,37863,neutral
90,29169,neutral
91,14075,worry
92,20451,happiness
93,9536,worry
94,10642,worry
95,30745,happiness
96,4750,neutral
97,36513,neutral
98,24787,neutral
99,7306,neutral
100,13143,neutral
101,27415,neutral
102,25484,sadness
103,1484,worry
104,35900,worry
105,13253,worry
106,8891,worry
107,23163,neutral
108,8895,worry
109,26782,neutral
110,34569,happiness
111,816,neutral
112,6401,neutral
113,1464,neutral
114,27809,happiness
115,37677,worry
116,6275,neutral
117,28737,neutral
118,2507,neutral
119,21746,happiness
120,34165,love
121,11897,neutral
122,4178,worry
123,28722,neutral
124,21802,worry
125,23587,worry
126,625,worry
127,19903,worry
128,23138,worry
129,26907,happiness
130,14857,worry
131,31835,neutral
132,16367,happiness
133,3705,worry
134,6224,worry
135,20856,neutral
136,35489,worry
137,4273,sadness
138,16293,happiness
139,39520,sadness
140,6892,worry
141,28785,happiness
142,12619,worry
143,18636,worry
144,9801,worry
145,9836,neutral
146,17162,neutral
147,15395,sadness
148,734,worry
149,36023,neutral
150,20962,neutral
151,32044,happiness
152,34194,worry
153,32370,worry
154,33013,love
155,19822,happiness
156,18529,worry
157,8153,worry
158,4741,neutral
159,34382,worry
160,38990,worry
161,11854,worry
162,8476,worry
163,30441,happiness
164,38327,relief
165,6596,worry
166,22991,neutral
167,14803,sadness
168,5373,neutral
169,25796,happiness
170,38261,worry
171,34487,worry
172,36135,happiness
173,7481,worry
174,15199,sadness
175,30361,neutral
176,6521,worry
177,15468,neutral
178,19591,worry
179,32377,neutral
180,28680,worry
181,25456,worry
182,35770,happiness
183,23096,neutral
184,20818,neutral
185,10080,neutral
186,21151,neutral
187,23659,worry
188,33372,happiness
189,25949,worry
190,18068,worry
191,38064,neutral
192,23738,happiness
193,21789,neutral
194,27296,neutral
195,17047,sadness
196,36949,happiness
197,5525,worry
198,35929,love
199,23530,neutral
200,9207,sadness
201,19174,worry
202,17176,worry
203,32704,neutral
204,13596,love
205,21671,sadness
206,9312,worry
207,31863,worry
208,953,sadness
209,15686,worry
210,465,worry
211,19649,neutral
212,20297,neutral
213,32489,happiness
214,21443,neutral
215,34428,worry
216,30291,happiness
217,39029,neutral
218,36574,happiness
219,23732,neutral
220,24823,worry
221,10026,worry
222,13962,sadness
223,4056,sadness
224,30044,neutral
225,28501,neutral
226,19237,worry
227,35521,love
228,11212,worry
229,28232,worry
230,35914,love
231,25661,happiness
232,38732,neutral
233,3108,neutral
234,29644,neutral
235,11198,worry
236,34600,happiness
237,6550,worry
238,20004,happiness
239,3438,neutral
240,7431,neutral
241,32585,worry
242,23981,love
243,33117,neutral
244,19662,worry
245,29713,neutral
246,14121,worry
247,5683,neutral
248,6216,neutral
249,9701,worry
250,7369,worry
251,14867,neutral
252,1487,sadness
253,27647,happiness
254,23971,sadness
255,38027,worry
256,24750,neutral
257,28672,worry
258,31861,happiness
259,23087,worry
260,21287,love
261,32681,love
262,38553,neutral
263,6072,sadness
264,36916,neutral
265,14913,worry
266,7414,neutral
267,4867,neutral
268,9590,worry
269,8191,worry
270,28438,neutral
271,25753,worry
272,27640,neutral
273,8986,neutral
274,17306,worry
275,20944,happiness
276,4280,sadness
277,7852,worry
278,18314,sadness
279,30231,love
280,4217,worry
281,1392,sadness
282,2915,worry
283,26192,worry
284,27625,neutral
285,6946,worry
286,7656,worry
287,17990,sadness
288,9535,sadness
289,14712,worry
290,12235,worry
291,38599,happiness
292,25295,worry
293,8054,worry
294,15953,worry
295,27059,worry
296,34568,love
297,30690,happiness
298,25545,neutral
299,11641,worry
300,30888,happiness
301,38610,worry
302,27150,neutral
303,28342,neutral
304,16794,worry
305,5183,sadness
306,2494,happiness
307,31545,worry
308,8248,neutral
309,6839,neutral
310,30997,neutral
311,27030,love
312,109,worry
313,30588,worry
314,15259,worry
315,36153,worry
316,22428,happiness
317,15497,worry
318,39191,happiness
319,25404,worry
320,12933,happiness
321,32609,love
322,26726,worry
323,36532,love
324,9595,sadness
325,23166,love
326,13019,neutral
327,5478,sadness
328,22761,happiness
329,5882,worry
330,34398,love
331,17967,worry
332,14668,worry
333,1402,worry
334,29008,love
335,16315,neutral
336,9289,worry
337,16900,worry
338,10226,happiness
339,18628,happiness
340,29898,worry
341,31657,happiness
342,25196,worry
