id,sentiment
32823,neutral
16298,neutral
28505,happiness
6689,neutral
26893,neutral
36572,happiness
12335,worry
29591,neutral
18948,neutral
31067,neutral
22241,worry
13787,worry
5128,worry
9125,neutral
35041,neutral
3510,worry
16441,hate
19463,worry
26283,neutral
36216,neutral
17407,neutral
10919,neutral
30866,worry
34436,neutral
12701,worry
35676,happiness
34089,worry
21261,worry
26173,worry
28283,worry
37266,neutral
32506,neutral
33381,neutral
39380,worry
20845,worry
252,worry
35119,neutral
3434,worry
1278,worry
8285,neutral
15215,worry
2624,worry
3698,neutral
6039,worry
4095,happiness
39574,neutral
14775,neutral
39974,love
14518,neutral
314,hate
5787,neutral
10859,hate
20809,neutral
22987,neutral
27031,happiness
14998,neutral
38588,love
33052,neutral
27996,neutral
28904,happiness
28177,neutral
32862,neutral
35302,neutral
31370,love
22667,neutral
24533,neutral
1566,sadness
12296,worry
34134,neutral
16810,worry
14470,neutral
27084,neutral
21047,sadness
36979,love
32734,love
32798,neutral
22898,worry
4859,fun
8648,neutral
38406,worry
38975,neutral
3719,worry
15280,worry
13125,sadness
24168,neutral
31578,sadness
15146,worry
31543,neutral
25649,happiness
37863,neutral
29169,neutral
14075,worry
20451,happiness
9536,worry
10642,neutral
30745,happiness
4750,neutral
36513,neutral
24787,love
7306,neutral
13143,neutral
27415,neutral
25484,love
1484,neutral
35900,happiness
13253,worry
8891,neutral
23163,neutral
8895,worry
26782,neutral
34569,happiness
816,neutral
6401,neutral
1464,neutral
27809,neutral
37677,worry
6275,happiness
28737,neutral
2507,neutral
21746,fun
34165,love
11897,worry
4178,neutral
28722,neutral
21802,happiness
23587,worry
625,worry
19903,neutral
23138,neutral
26907,happiness
14857,worry
31835,neutral
16367,neutral
3705,worry
6224,neutral
20856,neutral
35489,worry
4273,sadness
16293,happiness
39520,sadness
6892,worry
28785,happiness
12619,worry
18636,worry
9801,worry
9836,neutral
17162,neutral
15395,worry
734,worry
36023,neutral
20962,neutral
32044,fun
34194,neutral
32370,neutral
33013,love
19822,happiness
18529,neutral
8153,neutral
4741,happiness
34382,sadness
38990,happiness
11854,sadness
8476,worry
30441,happiness
38327,neutral
6596,sadness
22991,neutral
14803,worry
5373,neutral
25796,love
38261,worry
34487,happiness
36135,happiness
7481,worry
15199,relief
30361,neutral
6521,neutral
15468,neutral
19591,worry
32377,neutral
28680,worry
25456,worry
35770,worry
23096,neutral
20818,neutral
10080,neutral
21151,neutral
23659,neutral
33372,happiness
25949,worry
18068,neutral
38064,neutral
23738,happiness
21789,neutral
27296,neutral
17047,sadness
36949,happiness
5525,worry
35929,love
23530,neutral
9207,sadness
19174,worry
17176,neutral
32704,neutral
13596,love
21671,neutral
9312,worry
31863,worry
953,sadness
15686,worry
465,worry
19649,neutral
20297,neutral
32489,happiness
21443,neutral
34428,worry
30291,happiness
39029,neutral
36574,happiness
23732,neutral
24823,neutral
10026,worry
13962,sadness
4056,sadness
30044,neutral
28501,neutral
19237,worry
35521,love
11212,neutral
28232,worry
35914,love
25661,happiness
38732,neutral
3108,love
29644,neutral
11198,neutral
34600,neutral
6550,worry
20004,happiness
3438,neutral
7431,worry
32585,neutral
23981,happiness
33117,worry
19662,worry
29713,neutral
14121,worry
5683,neutral
6216,neutral
9701,worry
7369,neutral
14867,neutral
1487,sadness
27647,neutral
23971,worry
38027,sadness
24750,neutral
28672,worry
31861,happiness
23087,worry
21287,love
32681,love
38553,neutral
6072,sadness
36916,neutral
14913,happiness
7414,neutral
4867,neutral
9590,neutral
8191,worry
28438,neutral
25753,worry
27640,neutral
8986,neutral
17306,worry
20944,happiness
4280,sadness
7852,worry
18314,sadness
30231,love
4217,neutral
1392,sadness
2915,worry
26192,worry
27625,neutral
6946,worry
7656,worry
17990,worry
9535,sadness
14712,worry
12235,worry
38599,happiness
25295,worry
8054,worry
15953,worry
27059,worry
34568,love
30690,happiness
25545,neutral
11641,worry
30888,neutral
38610,worry
27150,neutral
28342,neutral
16794,worry
5183,sadness
2494,sadness
31545,neutral
8248,neutral
6839,neutral
30997,neutral
27030,love
109,worry
30588,happiness
15259,worry
36153,happiness
22428,happiness
15497,love
39191,happiness
25404,worry
12933,happiness
32609,love
26726,worry
36532,love
9595,sadness
23166,neutral
13019,neutral
5478,sadness
22761,happiness
5882,worry
34398,happiness
17967,worry
14668,worry
1402,worry
29008,love
16315,neutral
9289,worry
16900,worry
10226,happiness
18628,neutral
29898,worry
31657,happiness
25196,happiness
32148,neutral
18992,neutral
39238,happiness
14146,neutral
1670,neutral
33645,neutral
18304,worry
39586,love
31458,love
36494,neutral
35228,neutral
34617,neutral
24219,worry
30769,neutral
18611,neutral
